isim,irk,ozet,rol,onemli_replik,fiziksel_ozellikler,bolge,yas,silah,iliski
Bombur,Cüce,"Thorin'in şirketinin şişman üyesi.","Cüce Aşçı","Yemek vakti geldi mi?","Çok şişman, kızıl sakallı",Erebor,Unknown,"Kepçe ve bıçak","Bofur'un kardeşi"
Dori,Cüce,"Thorin'in şirketinin en güçlü üyesi.","Cüce Savaşçı","Kardeşlerimi korumalıyım.","Gri saçlı, şık giyimli",Erebor,Unknown,"Cüce kılıcı","Nori ve Ori'nin ağabeyi"
Rosie Cotton,Hobbit,"Sam'in eşi, Shire'ın güzel hobbiti.","Hobbit","Sonunda döndün, Sam.","Kahverengi bukleli saçlar",Shire,Unknown,"Hiçbiri","Sam'in eşi"
Lobelia Sackville-Baggins,Hobbit,"Bilbo'nun sevilmeyen akrabası, şemsiyesiyle ünlü.","Hobbit","Bu ev benim olmalıydı!","Asık suratlı, şemsiyeli",Shire,Unknown,"Şemsiye","Bilbo'nun rahatsız edici akrabası"
Fatty Bolger,Hobbit,"Frodo'nun arkadaşı, Shire'da kalan cesur hobbit.","Hobbit","Shire'ı korumalıyız.","Şişman, neşeli",Shire,Unknown,"Hiçbiri","Frodo'nun arkadaşı"
Maggot,Hobbit,"Çiftçi Maggot, mantarlarıyla ünlü hobbit.","Çiftçi","Mantarlarımdan uzak durun!","Yaşlı, sert görünümlü",Shire,Unknown,"Çiftçi aletleri","Frodo'nun çocukluk korkusu"
Shadowfax,At,"Atların Lordu, Gandalf'ın atı.","Mearas Lordu","[Gururlu kişneme]","Gümüş beyaz, soylu",Rohan,Unknown,"Güç ve hız","Gandalf'ın sadık atı"
Gildor Inglorion,Elf,"Gezgin elf, Frodo'ya yardım eden.","Gezgin Elf","Yol tehlikeli, dikkatli olun.","Altın saçlı, bilge",Gezgin,Unknown,"Elf kılıcı","Frodo'nun yardımcısı"
Goldberry,Nehir Kadını,"Tom Bombadil'in eşi, Nehir'in Kızı.","Nehir Ruhu","Hoş geldiniz yolcular.","Altın saçlı, su gibi akıcı",Eski Orman,Unknown,"Su büyüsü","Tom Bombadil'in eşi"
Farmer Cotton,Hobbit,"Rosie'nin babası, Sam'in kayınpederi.","Çiftçi","Shire'ımızı geri alacağız.","Sağlam yapılı, çalışkan",Shire,Unknown,"Çiftçi aletleri","Sam'in kayınpederi"
Déagol,Hobbit,"Yüzük'ü bulan ve Gollum tarafından öldürülen hobbit.","Kurban","Ne güzel bir hazine!","Genç, hobbit yapılı",Gladden Tarlaları,Unknown,"Hiçbiri","Sméagol'un kuzeni"
Gamling,İnsan,"Théoden'in yaşlı muhafızı.","Rohan Muhafızı","Rohan düşmeyecek!","Yaşlı ama güçlü",Rohan,Unknown,"Rohan kılıcı","Théoden'in sadık askeri"
Háma,İnsan,"Théoden'in kapı muhafızı.","Rohan Muhafızı","Silahlarınızı bırakın.","Uzun boylu, sadık",Rohan,Unknown,"Rohan kılıcı","Théoden'in muhafızı"
Erkenbrand,İnsan,"Batı Sınırı'nın Lordu.","Rohan Mareşali","Helm Dibi'ni savunacağız!","Güçlü yapılı, kızıl saçlı",Rohan,Unknown,"Rohan kılıcı","Théoden'in komutanı"
Damrod,İnsan,"Faramir'in kolcularından.","Gondor Kolcusu","Ithilien bizim toprağımız.","Uzun boylu, yeşil giyimli",Gondor,Unknown,"Kolcu yayı","Faramir'in askeri"
Mablung,İnsan,"Faramir'in baş kolcusu.","Gondor Kolcusu","Düşman yaklaşıyor.","Keskin gözlü, tecrübeli",Gondor,Unknown,"Kolcu kılıcı","Faramir'in güvenilir askeri"
Bergil,İnsan,"Beregond'un oğlu, Pippin'in genç arkadaşı.","Çocuk","Beyaz Şehir'i görmelisin!","Genç, heyecanlı",Minas Tirith,10,"Hiçbiri","Pippin'in arkadaşı"
Beregond,İnsan,"Minas Tirith muhafızı.","Gondor Muhafızı","Görevimiz şehri korumak.","Uzun boylu, cesur",Minas Tirith,Unknown,"Gondor kılıcı","Bergil'in babası"
Ioreth,İnsan,"Minas Tirith'in yaşlı şifacısı.","Şifacı","Kralın elleri şifa getirir.","Yaşlı, bilge kadın",Minas Tirith,Unknown,"Şifa bilgisi","Şifa Evleri'nin en yaşlısı"
Forlong,İnsan,"Lossarnach'ın şişman lordu.","Gondor Lordu","Minas Tirith'e!","Şişman, güçlü",Lossarnach,Unknown,"Savaş çekici","Gondor'un sadık müttefiki" 
