isim,irk,ozet,rol,onemli_replik,fiziksel_ozellikler,bolge,yas,silah,iliski
Frodo Baggins,Hobbit,"Yüzük Taşıyıcısı, Bilbo'nun yeğeni ve mirasçısı. Tek Yüzük'ü Mordor'a götürme görevini üstlendi.","Birinci Yüzük Taşıyıcısı, Dokuz Yoldaşın üyesi","Yüzük'ü ben taşıyacağım... Ama yolu bilmiyorum.","Mavi gözlü, kıvırcık kahverengi saçlı, 1.20m boyunda",Shire,50,"Sting kılıcı, Mithril zırhı","Sam'in en yakın arkadaşı, Bilbo'nun yeğeni"
Gandalf,İstar,"Orta Dünya'nın en güçlü büyücülerinden biri. Önce Gri Gandalf, sonra Beyaz Gandalf olarak bilinir.","Rehber, Dokuz Yoldaşın lideri","Bir büyücü asla geç kalmaz, tam zamanında gelir.","Uzun gri/beyaz sakal, uzun boylu, yaşlı görünümlü",Valinor,2000+,"Glamdring kılıcı, Narya yüzüğü, Büyücü asası","Saruman'ın eski dostu, Frodo'nun akıl hocası"
Aragorn,İnsan,"Gondor'un sürgündeki varisi, gerçek adı Elessar. Kuzey'in Kolcusu olarak yaşadı.","Gondor Kralı, Dokuz Yoldaşın üyesi","Gondor için! Batı insanları için!","Uzun boylu, koyu saçlı, gri gözlü",Gondor,87,"Andúril (Narsil'in yeniden dövülmüş hali)","Arwen'in sevgilisi, Elrond'un damadı"
Legolas,Elf,"Thranduil'in oğlu, Kuyutorman Krallığı'nın prensi. Mükemmel bir okçu.","Dokuz Yoldaşın üyesi","Bir Elf'in gözleri yanıltmaz.","Uzun sarı saçlı, keskin gözlü, zarif yapılı",Kuyutorman,2931,"Elf yayı ve okları, çift hançer","Gimli'nin yakın dostu"
Gimli,Cüce,"Glóin'in oğlu, Erebor'un soylu cücelerinden. Başlangıçta elflere güvenmese de Legolas ile yakın dost oldu.","Dokuz Yoldaşın üyesi","Kimse bir cüceyi sayamaz!","Uzun kızıl sakal, güçlü yapılı, kısa boylu",Erebor,139,"Cüce baltası","Legolas'ın yakın dostu, Galadriel'e hayran"
Samwise Gamgee,Hobbit,"Frodo'nun sadık bahçıvanı ve en yakın arkadaşı. Görev boyunca ona destek oldu.","Frodo'nun yardımcısı ve koruyucusu","Sizinle sonuna kadar geleceğim, Bay Frodo.","Tombul yapılı, sarı-kahve saçlı",Shire,38,"Kısa kılıç, Elf ipi","Frodo'nun en yakın arkadaşı, Rosie'nin kocası"
Galadriel,Elf,"Lothlórien'in Elf Kraliçesi, Üç Yüzük'ten birinin taşıyıcısı. Büyük bir bilgeliğe sahip.","Elf lideri, Yüzük Taşıyıcısı","Karanlık günler geliyor... Hepimiz sınanacağız.","Altın sarısı saçlı, derin mavi gözlü, olağanüstü güzellikte",Lothlórien,7000+,"Nenya yüzüğü, Elf büyüsü","Celeborn'un eşi, Arwen'in büyükannesi"
Saruman,İstar,"Başlangıçta İstar'ların lideri, sonradan Sauron'a hizmet eden hain büyücü.","Antagonist, İhanete uğramış büyücü","Yeni bir güç yükseliyor. Ona karşı durulamaz.","Uzun beyaz sakal ve saç, keskin bakışlı",Orthanc,Unknown,"Büyücü asası","Gandalf'ın eski müttefiki ve sonradan düşmanı"
Arwen,Elf,"Elrond'un kızı, ölümlü bir yaşamı seçerek Aragorn ile evlendi.","Gondor Kraliçesi","Seni seçiyorum... Ölümlü bir yaşamı.","Siyah saçlı, gri gözlü, olağanüstü güzellikte",Rivendell,2901,"Hadhafang kılıcı","Aragorn'un sevgilisi, Elrond'un kızı"
Boromir,İnsan,"Gondor'un Vekilharcı Denethor'un büyük oğlu. Yüzük'ün gücüne yenik düştü.","Dokuz Yoldaşın üyesi","Gondor'da hala cesaret var, hala güç var.","Güçlü yapılı, kızıl-kahve saçlı",Gondor,41,"Gondor kılıcı ve kalkanı","Faramir'in ağabeyi, Denethor'un oğlu"
Bilbo Baggins,Hobbit,"Yüzük'ü ilk bulan hobbit, Frodo'nun amcası. Uzun yıllar Yüzük'ü taşıdı.","İlk Yüzük Taşıyıcısı","Tehlikeli iş, Frodo, kapının dışına adım atmak.","Yaşlı, beyaz saçlı, kısa boylu",Shire,131,"Sting kılıcı, Mithril zırhı","Frodo'nun amcası ve vasisi"
Elrond,Elf,"Rivendell'in Efendisi, büyük bir şifacı ve lider.","Rivendell'in Efendisi","Yüzük'ün kaderi artık sizin elinizde.","Uzun siyah saçlı, bilge görünümlü",Rivendell,6500+,"Vilya yüzüğü, Elf kılıcı","Arwen'in babası, Aragorn'un kayınpederi"
Faramir,İnsan,"Gondor'un Vekilharcı Denethor'un küçük oğlu. Ağabeyi Boromir'den farklı olarak Yüzük'e direndi.","Gondor Kaptanı","Kaliteli bir şeyi tanırım gördüğümde.","Boromir'e benzer ama daha narin yapılı",Gondor,36,"Gondor kılıcı ve yayı","Boromir'in kardeşi, Éowyn'in eşi"
